model_name,lr_law,batch_size_per_gpu,global_batch_size,n_f,num_gpus,learning_rate,adam_steps,training_time_sec,l2_error,l2_t0.25,l2_t0.5,l2_t0.75,l2_t1.0,final_loss,lambda_f,lambda_ic,lambda_bc,n_parameters,seed,scheduler,grad_sync,local_points,batch_exceeds_local_data,unique_points_per_batch,gpu_name,torch_version,l2_100t,l2_100t_std,l2_norm,l2_mean,l_inf,mass_balance_rel_mean,mass_balance_rel_final,mass_balance_mean,mass_balance_max,mass_t0
linearG_lr2.560e-05_bs256_gpu2,linearG,256,512,10000,2,2.5600000000000002e-05,15000,60.86024117516354,0.33376640482233233,0.5877694486788849,0.3867237914866258,0.23731845568286494,0.1232539234409537,0.3550907373428345,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.359761e-01,2.719842e-01,3.420536e-01,4.359761e-01,7.109870e-01,1.371651e-01,8.201377e-02,5.978939e-02,8.201377e-02,1.385904e-01
linearG_lr5.120e-05_bs512_gpu2,linearG,512,1024,10000,2,5.1200000000000004e-05,15000,61.938933165045455,0.2823621695003128,0.47976865104361754,0.34458635380520863,0.25150726734033346,0.05358640581209166,0.299864262342453,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.950320e-01,2.816124e-01,3.100388e-01,3.950320e-01,7.003021e-01,1.284989e-01,8.751444e-02,5.892964e-02,8.751444e-02,1.451885e-01
linearG_lr1.024e-04_bs1024_gpu2,linearG,1024,2048,10000,2,0.00010240000000000001,15000,63.08917606482282,0.2745154801205006,0.43904784266705454,0.3676025003276986,0.2546438335551313,0.036767743932117916,0.27352842688560486,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.878146e-01,2.776812e-01,3.107968e-01,3.878146e-01,7.095446e-01,1.398140e-01,8.476178e-02,6.333628e-02,8.507582e-02,1.423360e-01
linearG_lr2.048e-04_bs2048_gpu2,linearG,2048,4096,10000,2,0.00020480000000000002,15000,62.96077626408078,0.15332051609233643,0.3328293308630951,0.10495706239515307,0.15419206574769584,0.021303605363401715,0.09951867908239365,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.519342e-01,2.528928e-01,1.863971e-01,2.519342e-01,8.907748e-01,6.153344e-02,3.978290e-02,2.844907e-02,4.056023e-02,5.466804e-02
linearG_lr4.096e-04_bs4096_gpu2,linearG,4096,8192,10000,2,0.00040960000000000004,15000,64.37193337013014,0.22360389104693473,0.3190929211710725,0.30012274338516254,0.2653970993086845,0.009802800322819412,0.04167914018034935,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,2.581889e-01,1.303408e-01,2.407961e-01,2.581889e-01,6.975682e-01,5.760861e-02,3.240588e-02,2.518483e-02,3.318804e-02,5.420909e-02
sqrtG_lr5.657e-05_bs32_gpu2,sqrtG,32,64,10000,2,5.6568542494923805e-05,15000,63.98755473108031,0.29454007678187666,0.5230819366644988,0.3484116861199637,0.23793450246636166,0.06873218187668242,0.28406161069869995,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,32,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,4.035033e-01,2.824301e-01,3.142100e-01,4.035033e-01,6.958538e-01,1.183926e-01,7.703161e-02,5.464859e-02,7.703161e-02,1.471728e-01
sqrtG_lr8.000e-05_bs64_gpu2,sqrtG,64,128,10000,2,8e-05,15000,60.797864496009424,0.28294663088595146,0.48080710055633447,0.3458550258097698,0.25154373208417735,0.05358066509352418,0.3099702000617981,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,64,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.955610e-01,2.815156e-01,3.104807e-01,3.955610e-01,7.000402e-01,1.266612e-01,8.750924e-02,5.824906e-02,8.750924e-02,1.459577e-01
sqrtG_lr1.131e-04_bs128_gpu2,sqrtG,128,256,10000,2,0.00011313708498984761,15000,64.41733793495223,0.2781097774893201,0.46917000720674157,0.3438883108324352,0.24955815042237317,0.04982264149573045,0.2887883484363556,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,128,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.906538e-01,2.808372e-01,3.076904e-01,3.906538e-01,7.010505e-01,1.343212e-01,8.635077e-02,6.148587e-02,8.635077e-02,1.433218e-01
sqrtG_lr1.600e-04_bs256_gpu2,sqrtG,256,512,10000,2,0.00016,15000,63.085756682092324,0.2748551235596622,0.4405907746017465,0.36651132334545294,0.25456978043342426,0.03774861585802498,0.27540579438209534,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,256,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.880763e-01,2.778710e-01,3.106927e-01,3.880763e-01,7.086183e-01,1.402988e-01,8.622983e-02,6.376090e-02,8.622983e-02,1.422639e-01
sqrtG_lr2.263e-04_bs512_gpu2,sqrtG,512,1024,10000,2,0.00022627416997969522,15000,62.82576949405484,0.223322335546367,0.33034548201611685,0.2800881013160607,0.2560823924170264,0.02677336643626389,0.18212303519248962,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,512,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,3.214137e-01,2.504970e-01,2.566756e-01,3.214137e-01,7.942468e-01,1.095025e-01,6.810592e-02,5.000605e-02,6.810804e-02,1.033297e-01
sqrtG_lr3.200e-04_bs1024_gpu2,sqrtG,1024,2048,10000,2,0.00032,15000,65.0979642639868,0.07996826016156196,0.10281437568026702,0.09753093494749206,0.10685808446427221,0.012669645554216563,0.02612074837088585,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,1024,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.072374e-01,7.696366e-02,9.160192e-02,1.072374e-01,6.676970e-01,1.788836e-02,1.384805e-02,8.833246e-03,1.444488e-02,1.179285e-02
sqrtG_lr4.525e-04_bs2048_gpu2,sqrtG,2048,4096,10000,2,0.00045254833995939044,15000,62.244750577025115,0.16347010793004985,0.2227638575984308,0.2105494221283256,0.20974487004851905,0.010822281944923929,0.026917126029729843,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,2048,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.864506e-01,8.967673e-02,1.754644e-01,1.864506e-01,6.947887e-01,3.546748e-02,2.082708e-02,1.607099e-02,2.282722e-02,2.980593e-02
sqrtG_lr6.400e-04_bs4096_gpu2,sqrtG,4096,8192,10000,2,0.00064,15000,63.62072624708526,0.08558289906282886,0.10570474618727156,0.11163943574130583,0.11755431196633233,0.0074331023564057006,0.013958842493593693,3.0,5.0,1.0,3021,42,"StepLR(step_size=1000, gamma=0.7)",ddp,5000,False,4096,NVIDIA GeForce RTX 5090,2.12.0.dev20260408+cu128,1.057180e-01,5.941974e-02,9.810511e-02,1.057179e-01,6.755636e-01,1.294084e-02,9.227449e-03,5.834088e-03,9.227449e-03,1.111721e-02
